file,Soil ochre weight /g,wavelength,absorbance,date,phosphorous_loading_conc,repeat_no,p_level,iron_ochre_amendement_percent,p_adjust,PO4mgL,PO4_removed ,mass_normalised,PO4_removed_p,normal_percent
010925-1%-5mg-2.txt,2.0012,880,0.067038,10925,5,2,-0.006137056,1,-0.061370563,-0.015130263,5.015130263,0.005012123,100.3026053,100.2424598
010925-1%-5mg-3.txt,2.0048,880,0.082056055,10925,5,3,0.00395808,1,0.039580798,0.13505028,4.86494972,0.004853302,97.29899439,97.06603591
010925-1%-10mg-1.txt,2.001,880,0.215224111,10925,10,1,0.093473647,1,0.934736473,1.466730843,8.533269157,0.008529005,85.33269157,85.29004655
010925-1%-10mg-2.txt,1.9941,880,0.247194015,10925,10,2,0.114963817,1,1.149638172,1.78642989,8.21357011,0.008237872,82.1357011,82.37871832
010925-1%-10mg-3.txt,2.0031,880,0.260136649,10925,10,3,0.123663855,1,1.236638554,1.915856225,8.084143775,0.008071633,80.84143775,80.71632744
010925-1%-20mg-1.txt,1.9978,880,0.340154863,10925,20,1,0.177452099,1,3.549041984,5.355908932,14.64409107,0.014660217,73.22045534,73.30108655
010925-1%-20mg-2.txt,2.0058,880,0.302125788,10925,20,2,0.151888955,1,3.037779096,4.595327427,15.40467257,0.015360128,77.02336287,76.80064099
010925-1%-20mg-3.txt,1.9953,880,0.342213188,10925,20,3,0.178835705,1,3.576714101,5.397075425,14.60292458,0.014637322,73.01462288,73.18661144
010925-1%-40mg-1.txt,1.9957,880,0.256547101,10925,40,1,0.121250961,1,4.850038451,7.291339558,32.70866044,0.032779136,81.77165111,81.94783895
010925-1%-40mg-2.txt,2.0013,880,0.251354438,10925,40,2,0.117760453,1,4.710418116,7.083633019,32.91636698,0.032894985,82.29091745,82.2374631
010925-1%-40mg-3.txt,1.9963,880,0.299241766,10925,40,3,0.149950315,1,5.998012612,8.999126171,31.00087383,0.031058332,77.50218457,77.64582936
010925-3%-0mg-2.txt,2.001,880,0.024726943,10925,0,2,-0.034578549,3,-0.034578549,0.024726943,-0.024726943,NA,NA,NA
010925-3%-0mg-3.txt,2.004,880,0.026406193,10925,0,3,-0.033449757,3,-0.033449757,0.026406193,-0.026406193,NA,NA,NA
010925-3%-0mg-1.txt,2,880,0.028930286,10925,0,1,-0.031753062,3,-0.031753062,0.028930286,-0.028930286,NA,NA,NA
010925-3%-5mg-1.txt,2.003,880,0.038053157,10925,5,1,-0.025620668,3,-0.256206676,-0.304978691,5.304978691,0.005297033,106.0995738,105.9406628
010925-3%-5mg-2.txt,2,880,0.0513773,10925,5,2,-0.016664179,3,-0.166641791,-0.171737268,5.171737268,0.005171737,103.4347454,103.4347454
010925-3%-5mg-3.txt,1.999,880,0.045387656,10925,5,3,-0.020690418,3,-0.206904176,-0.231633705,5.231633705,0.005234251,104.6326741,104.6850166
010925-3%-10mg-1.txt,2.003,880,0.127783776,10925,10,1,0.034696254,3,0.346962544,0.592327498,9.407672502,0.009393582,94.07672502,93.93582129
010925-3%-10mg-2.txt,2,880,0.127521429,10925,10,2,0.034519905,3,0.345199045,0.589704024,9.410295976,0.009410296,94.10295976,94.10295976
010925-3%-10mg-3.txt,2.004,880,0.080363651,10925,10,3,0.002820446,3,0.028204462,0.118126245,9.881873755,0.009862149,98.81873755,98.62149456
010925-3%-20mg-1.txt,2.001,880,0.219617514,10925,20,1,0.096426893,3,1.928537865,2.945161953,17.05483805,0.017046315,85.27419024,85.23157446
010925-3%-20mg-2.txt,1.998,880,0.21568903,10925,20,2,0.093786166,3,1.87572332,2.866592265,17.13340774,0.017150558,85.66703868,85.75279149
010925-3%-20mg-3.txt,2.003,880,0.217031459,10925,20,3,0.094688546,3,1.893770929,2.893440835,17.10655917,0.017080938,85.53279583,85.40468882
010925-3%-40mg-1.txt,2.002,880,0.251312792,10925,40,1,0.117732458,3,4.709298339,7.081967181,32.91803282,0.032885148,82.29508205,82.21286918
010925-3%-40mg-2.txt,2.005,880,0.110353965,10925,40,2,0.022979935,3,0.919197415,1.443614125,38.55638587,0.038460235,96.39096469,96.1505882
010925-3%-40mg-3.txt,1.999,880,0.255536703,10925,40,3,0.120571772,3,4.82287088,7.250923654,32.74907635,0.032765459,81.87269087,81.9136477
010925-5%-0mg-1.txt,2.005,880,0.021510445,10925,0,1,-0.036740679,5,-0.036740679,0.021510445,-0.021510445,NA,NA,NA
